Auteurs;Année;Année de soutenance;Titre;Titre journal;Année;Volume;Issue;Editeur scientifique;Titre ouvrage;Titre du volume;Editeur revue;Volume, Issue, Pages;ISBN;Titre conférence;Commentaire;Date congrès;Ville;Pays;Source;Volume;Numéro;Pagination;Patent n°;Date de publication;Type de rapport;N°;Organisme de délivrance;Pages;Date de publication;Directeur de thèse;Université de soutenance;Année de soutenance;Organisme de délivrance;DOI;NNT;Pubmed;Référence;ArXiv;Description;Voir aussi;Réf. HAL;Rang HCERES;Rang CNRS
Arino M.;2016;;« A l’origine du déterminisme et de la réécriture : l’inceste dans l’œuvre de Michel Tremblay »;;;;;;;;;;;"Intersexualités : tabous et transgressions";;30 septembre 2016;Saint-Denis de La Réunion;France;;;;;;;;;;;;;;;;;;;;;;;;;
Arino M.;2016;;« Viralités, parasitages et piratages dans Transcendance (2014) de Wally Pfister »;;;;;;;;;;;« Viralités, parasitages et piratages en science-fiction »;;20-21 octobre 2016;Bordeaux;France;;;;;;;;;;;;;;;;;;;;;;;;;
Duboin C.;2016;;African and American Selves : ‘Contact Zones’ in All Our Names by Dinaw Mengestu;;;;;;;;;;;Border States;;10-13 novembre 2016;St. Louis;États-Unis;;;;;;;;;;;;;;;;;;;;;;;;;
Duboin C.;2016;;New Transnational Trajectories in Black American Fiction and the Emergence of African Immigrant Writers;;;;;;;;;;;Transnational American Studies: Histories, Methodologies, Perspectives;;27-29 octobre 2016;Varsovie;Pologne;;;;;;;;;;;;;;;;;;;;;;;;;
Letellier B.;2016;;De la “littérature de terrain” à la littérature générale : méthodes et perspectives de recherche en littératures arabes;;;;;;;;;;;La littérature comparée : multiples langues, multiples langages;;21-27 juillet 2016;Vienne;Autriche;;;;;;;;;;;;;;;;;;;;;;;;;
Letellier B.;2016;;L’amour dans le Thirukkural lu à la lumière des poèmes de Sri Aurobindo et Kamala Das;;;;;;;;;;;Thirukkural, Ethique et Représentations : la Vertu, la Fortune et l’Amour;;14-16 avril 2016;Saint-Denis;Réunion;;;;;;;;;;;;;;;;;;;;;;;;;
Letellier B.;2016;;À quoi bon lire des poèmes ?;;;;;;;;;;;Conférence;;19 avril 2016;Saint-Denis;Réunion;;;;;;;;;;;;;;;;;;;;;;;;;
Peiter A.;2016;;Sich gegenseitig beim Namen rufen;;;;;;;;;;;Poétiques de l’amitié Poetiken der Freundschaft in Deutschland und Frankreich;;19-20 novembre 2016;Paris;France;;;;;;;;;;;;;;;;;;;;;;;;;
Tosser R.;2016;;Bonfires and Political Imagery in Northern Ireland;;;;;;;;;;;Sectarianism in Northern Ireland;;13 juin 2016;Binghampton, New York State;États-Unis;;;;;;;;;;;;;;;;;;;;;;;;;
Tosser R.;2016;;Culture et Politique en Irlande;;;;;;;;;;;Conférences Universités de la Réunion, laboratoire DIRE;;St Denis de la Réunion;France;;;;;;;;;;;;;;;;;;;;;;;;;
Tosser R.;2016;;Visual Displays and Peacemaking : The Twelfth Bonfires, 2009-2015;;;;;;;;;;;Peacemaking in Northern Ireland;;14 avril 2016;BELFAST;France;;;;;;;;;;;;;;;;;;;;;;;;;
Tosser R.;2016;;Visual Twelfth and Bonfires in Northern Ireland;;;;;;;;;;;ADAPTATION IN ARTS;;28-29 avril 2016;University of Farmington, Maine;États-Unis;;;;;;;;;;;;;;;;;;;;;;;;;
Williams-Wanquet E.;2016;;Anita Brookner's Wounded Heroine;;;;;;;;;;;"The paradoxical quest of the wounded hero" (seminar 47 of ESSE congress 2016);;22-26 août 2016;Galway;Irlande;;;;;;;;;;;;;;;;;;;;;;;;;

